trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.3, 'e': 0.7830959883653648}",25,0,-58.049492998520144,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
164,False,"{'a': 0.3, 'e': 0.7819222249254772}",20,0,-60.00916747554982,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
165,False,"{'a': 0.3, 'e': 0.7807502208109257}",30,0,-203.69594543163294,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
166,False,"{'a': 0.3, 'e': 0.7795799733847004}",20,12,-19.235769930927063,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.778411480013744}",20,0,-44.919106671257595,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
168,False,"{'a': 0.3, 'e': 0.7772447380689461}",30,0,-99.59695444057274,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
169,False,"{'a': 0.3, 'e': 0.7760797449251368}",25,0,-90.5829721676,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
170,False,"{'a': 0.3, 'e': 0.774916497961081}",25,7,-28.541423007866044,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.7737549945594724}",20,12,2.731851315960371,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.772595232106928}",25,0,-2.0309817067458598,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
173,False,"{'a': 0.3, 'e': 0.7714372079939819}",35,25,14.974586296693143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.7702809196150792}",25,13,-20.003131810131563,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.7691263643685705}",20,0,-73.43738118688441,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
176,False,"{'a': 0.3, 'e': 0.7679735396567061}",20,0,-36.9405465891586,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
177,False,"{'a': 0.3, 'e': 0.7668224428856301}",20,0,-53.265315121546735,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
178,False,"{'a': 0.3, 'e': 0.7656730714653739}",25,0,-135.5336377227755,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
179,False,"{'a': 0.3, 'e': 0.7645254228098516}",25,0,-60.23675194148824,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
180,False,"{'a': 0.3, 'e': 0.7633794943368531}",20,0,-31.57897108314716,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
181,False,"{'a': 0.3, 'e': 0.762235283468039}",35,0,-115.42183937752596,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
182,False,"{'a': 0.3, 'e': 0.7610927876289343}",25,17,-11.283194830575939,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
